,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,cat_ART_AND_DESIGN,cat_AUTO_AND_VEHICLES,cat_BEAUTY,cat_BOOKS_AND_REFERENCE,cat_BUSINESS,cat_COMICS,cat_COMMUNICATION,cat_DATING,cat_EDUCATION,cat_ENTERTAINMENT,cat_EVENTS,cat_FAMILY,cat_FINANCE,cat_FOOD_AND_DRINK,cat_GAME,cat_HEALTH_AND_FITNESS,cat_HOUSE_AND_HOME,cat_LIBRARIES_AND_DEMO,cat_LIFESTYLE,cat_MAPS_AND_NAVIGATION,cat_MEDICAL,cat_NEWS_AND_MAGAZINES,cat_PARENTING,cat_PERSONALIZATION,cat_PHOTOGRAPHY,cat_PRODUCTIVITY,cat_SHOPPING,cat_SOCIAL,cat_SPORTS,cat_TOOLS,cat_TRAVEL_AND_LOCAL,cat_VIDEO_PLAYERS,cat_WEATHER
0,5619,ART_AND_DESIGN,4.1,159,19.0,18000.0,1,0,1,9,1515250800.0,1.0.0,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2469,ART_AND_DESIGN,3.9,967,14.0,900000.0,1,0,1,12,1515942000.0,2.0.0,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7021,ART_AND_DESIGN,4.7,87510,8.7,9000000.0,1,0,1,9,1533049200.0,1.2.4,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6341,ART_AND_DESIGN,4.5,215644,25.0,90000000.0,1,0,4,9,1528383600.0,Varies with device,4.2 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5668,ART_AND_DESIGN,4.3,967,2.8,180000.0,1,0,1,11,1529420400.0,1.1,4.4 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5545,ART_AND_DESIGN,4.4,167,5.6,90000.0,1,0,1,9,1490454000.0,1.0,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6391,ART_AND_DESIGN,3.8,178,19.0,90000.0,1,0,1,9,1524668400.0,1.1,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4291,ART_AND_DESIGN,4.1,36815,29.0,1800000.0,1,0,1,9,1528902000.0,6.1.61.1,4.2 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3806,ART_AND_DESIGN,4.4,13791,33.0,1800000.0,1,0,1,9,1505833200.0,2.9.2,3.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4478,ART_AND_DESIGN,4.7,121,3.1,18000.0,1,0,1,11,1530543600.0,2.8,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6747,ART_AND_DESIGN,4.4,13880,28.0,1800000.0,1,0,1,9,1509030000.0,1.0.4,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5252,ART_AND_DESIGN,4.4,8788,12.0,1800000.0,1,0,1,9,1532962800.0,1.0.15,4.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6703,ART_AND_DESIGN,4.2,44829,20.0,18000000.0,1,0,4,9,1522594800.0,3.8,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4838,ART_AND_DESIGN,4.6,4326,21.0,180000.0,1,0,1,9,1529938800.0,1.0.4,4.4 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,56,ART_AND_DESIGN,4.4,1518,37.0,180000.0,1,0,1,9,1533222000.0,1.2.3,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4629,ART_AND_DESIGN,3.2,55,2.7,9000.0,1,0,1,9,1528210800.0,,4.2 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5617,ART_AND_DESIGN,4.7,3632,5.5,900000.0,1,0,1,9,1532962800.0,3.1,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,50,ART_AND_DESIGN,4.5,27,17.0,18000.0,1,0,1,9,1509980400.0,1.0,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3601,ART_AND_DESIGN,4.3,194216,39.0,9000000.0,1,0,1,9,1533222000.0,2.2.5,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7747,ART_AND_DESIGN,4.6,224399,31.0,18000000.0,1,0,1,9,1532876400.0,5.5.4,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4712,ART_AND_DESIGN,4.0,450,14.0,180000.0,1,0,1,9,1524150000.0,4.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1636,ART_AND_DESIGN,4.1,654,12.0,180000.0,1,0,1,9,1521471600.0,1.1,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6600,ART_AND_DESIGN,4.7,7699,4.2,900000.0,1,0,2,9,1531321200.0,2.2.6.2,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4895,ART_AND_DESIGN,4.3,61,7.0,180000.0,1,0,1,10,1520348400.0,1.0.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4010,ART_AND_DESIGN,4.7,118,23.0,90000.0,1,0,1,9,1530889200.0,1.1.3,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4076,ART_AND_DESIGN,4.8,192,6.0,18000.0,1,0,1,9,1524582000.0,1.5,3.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2463,ART_AND_DESIGN,4.7,20260,25.0,900000.0,1,0,1,11,1507647600.0,1.0.8,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,698,ART_AND_DESIGN,4.1,203,6.1,180000.0,1,0,1,9,1521558000.0,1.03,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5578,ART_AND_DESIGN,3.9,136,4.6,18000.0,1,0,1,9,1531321200.0,6.0,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3278,ART_AND_DESIGN,4.1,223,4.2,180000.0,1,0,1,9,1503327600.0,1.0,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5656,ART_AND_DESIGN,4.2,1120,9.2,180000.0,1,0,1,9,1531321200.0,6.7.12.2018,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,769,ART_AND_DESIGN,4.1,227,5.2,90000.0,1,0,1,9,1527692400.0,1.2,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,702,ART_AND_DESIGN,4.5,5035,11.0,180000.0,1,0,1,9,1531926000.0,2.20,4.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3277,ART_AND_DESIGN,4.2,1015,11.0,180000.0,1,0,1,9,1515164400.0,1.1.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4230,ART_AND_DESIGN,4.7,353,4.2,18000.0,1,0,4,9,1524754800.0,1.6,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4197,ART_AND_DESIGN,3.8,564,9.2,180000.0,1,0,1,9,1531234800.0,2.1,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7043,ART_AND_DESIGN,4.7,8145,24.0,900000.0,1,0,1,11,1533135600.0,1.0.9,4.4 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5510,ART_AND_DESIGN,4.7,158,11.0,18000.0,1,0,1,9,1511881200.0,1.3,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4191,ART_AND_DESIGN,4.0,591,9.4,900000.0,1,0,1,9,1522422000.0,1,4.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3192,ART_AND_DESIGN,4.2,117,15.0,18000.0,1,0,1,9,1532012400.0,2.0.1,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6177,ART_AND_DESIGN,4.5,176,10.0,180000.0,1,0,1,9,1522594800.0,1.0,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5538,ART_AND_DESIGN,3.8,2206,1.2,180000.0,1,0,1,11,1523718000.0,1.46,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,5729,ART_AND_DESIGN,4.2,26,12.0,18000.0,1,0,1,9,1514905200.0,1.0.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2236,ART_AND_DESIGN,4.7,174531,24.0,18000000.0,1,0,1,9,1532962800.0,1.6.1,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4312,ART_AND_DESIGN,4.6,1070,26.0,180000.0,1,0,1,9,1510585200.0,1.6,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4686,ART_AND_DESIGN,4.2,85,8.0,180000.0,1,0,1,9,1513436400.0,2.0.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4192,ART_AND_DESIGN,4.3,845,7.9,180000.0,1,0,1,9,1527433200.0,1.0,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5060,AUTO_AND_VEHICLES,4.2,367,25.0,180000.0,1,0,1,13,1525878000.0,1.0,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,5969,AUTO_AND_VEHICLES,4.0,1598,56.0,1800000.0,1,0,1,13,1532530800.0,11.0,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7077,AUTO_AND_VEHICLES,3.8,284,57.0,180000.0,1,0,1,13,1532530800.0,3.0,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
